id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
71810;Train/ilu_valton_ud211.conllu;""" Kõss , kana ! """;2;6;Kõss;bound;""" , kana ! """;100.0;100.0;100.0
71813;Train/aja_ee200110_osa_7_ud211.conllu;""" Oi , neid kirsina punavaid huuli , "" laulab ta kõrge heleda häälega laulu kõik salmid ja võtab siis ette järgmise laulu .";2;4;Oi;bound;""" , neid kirsina punavaid huuli , "" laulab ta kõrge heleda häälega laulu kõik salmid ja võtab siis ette järgmise laulu .";95.7;95.7;95.7
71815;Train/ilu_vilep_ud211.conllu;""" Issand , "" tuli nutuvõre ümber naise suu , "" ma arvasin , et see ükskord juhtub !";0;12;""" Issand , """;bound;"tuli nutuvõre ümber naise suu , "" ma arvasin , et see ükskord juhtub !";80.0;80.0;86.7
71826;Train/ilu_indrikson_ud211.conllu;""" Ahh ? "" jahmus Indrikson .";2;5;Ahh;bound;""" ? "" jahmus Indrikson .";100.0;100.0;100.0
71827;Train/ilu_maailm_ud211.conllu;""" Aitäh , "" naeratas Konspiraator oma hambutut naeratust , "" vastutasuks annan head nõu .";0;11;""" Aitäh , """;bound;"naeratas Konspiraator oma hambutut naeratust , "" vastutasuks annan head nõu .";91.7;91.7;100.0
71829;Train/ilu_kanep_ud211.conllu;Hommikust Eesti , Soome ja Setumaa .;0;9;Hommikust;bound;Eesti , Soome ja Setumaa .;83.3;83.3;100.0
71832;Train/ilu_kanep_ud211.conllu;""" Ah , "" ütles Merike , kui tema suu hetkeks vabanes .";0;8;""" Ah , """;bound;ütles Merike , kui tema suu hetkeks vabanes .;88.9;88.9;88.9
71839;Train/ilu_kanep_ud211.conllu;Krapsti ! olen laua juures .;0;7;Krapsti;bound;! olen laua juures .;80.0;80.0;80.0
71843;Train/ilu_kanep_ud211.conllu;""" Nojah , "" jäin minagi mõtlema .";2;7;Nojah;bound;""" , "" jäin minagi mõtlema .";100.0;100.0;100.0
71847;Train/ilu_vilep_ud211.conllu;Einoh -- mõtles Jan -- kui nii siis nii !;0;5;Einoh;bound;-- mõtles Jan -- kui nii siis nii !;77.8;77.8;100.0
71854;Train/ilu_kanep_ud211.conllu;""" Tere , "" ütleb Aapo .";2;6;Tere;bound;""" , "" ütleb Aapo .";100.0;100.0;100.0
71859;Train/ilu_remsu_ud211.conllu;"Tervitasin neid : "" No , rebjata , kak dela ? """;18;47;""" No , rebjata , kak dela ? """;bound;Tervitasin neid : ;100.0;100.0;100.0
71864;Train/aja_pm19980926e_ud211.conllu;oi te plikad kuis küll põleb rind;0;2;oi;bound;te plikad kuis küll põleb rind;66.7;83.3;66.7
71890;Train/aja_ee200110_osa_7_ud211.conllu;"Tema käskija aga seisis piitsaga keset saali , nagu seisab tsirkuse dressöör keset areeni , keerutades paiga peal ringi , juhatas tõsiselt ja asjalikult , nipsutas piitsa , vilistas ja tegi : "" Hopp - hopp , Mieze ! """;194;205;Hopp - hopp;bound;"Tema käskija aga seisis piitsaga keset saali , nagu seisab tsirkuse dressöör keset areeni , keerutades paiga peal ringi , juhatas tõsiselt ja asjalikult , nipsutas piitsa , vilistas ja tegi : "" , Mieze ! """;83.8;86.5;97.3
71892;Train/ilu_kivirahk_ud211.conllu;"Aitäh , et sa mind sedasi kiusad ! """;0;5;Aitäh;bound;", et sa mind sedasi kiusad ! """;100.0;100.0;100.0
71897;Train/aja_epl20061216_ud211.conllu;""" Oi-oi-oi , "" ägises tartlaste treener Urmas Tali pärast mängu kaotusevalus .";2;10;Oi-oi-oi;bound;""" , "" ägises tartlaste treener Urmas Tali pärast mängu kaotusevalus .";100.0;100.0;100.0
71899;Train/aja_ee200110_osa_6_ud211.conllu;Säh sulle Päikeserannikut !;0;3;Säh;bound;sulle Päikeserannikut !;100.0;100.0;100.0
71910;Train/ilu_kivirahk_ud211.conllu;""" Noh , taadike ! "" ütles ta kerge vene aktsendiga .";0;19;""" Noh , taadike ! """;bound;ütles ta kerge vene aktsendiga .;100.0;100.0;100.0
71913;Train/ilu_kanep_ud211.conllu;""" Tervist ! "" pigistan reipalt .";2;9;Tervist;bound;""" ! "" pigistan reipalt .";100.0;100.0;100.0
71914;Train/ilu_kanep_ud211.conllu;""" Kurat , "" võpatasin pool tundi hiljem .";0;11;""" Kurat , """;bound;võpatasin pool tundi hiljem .;80.0;80.0;100.0
71919;Train/ilu_kanep_ud211.conllu;""" Tere , tulevane ! """;2;6;Tere;bound;""" , tulevane ! """;100.0;100.0;100.0
71928;Train/ilu_vilep_ud211.conllu;""" Ahah , "" nentis Jan taas .";0;10;""" Ahah , """;bound;nentis Jan taas .;100.0;100.0;100.0
71930;Train/aja_ee200110_osa_10_ud211.conllu;Ei , pagan , need väited on ebaõiglased - konkurents on tegelikult tihe .;3;71;, pagan , need väited on ebaõiglased - konkurents on tegelikult tihe;bound;Ei .;100.0;100.0;100.0
71932;Train/ilu_kivirahk_ud211.conllu;""" Nojaa ... "" venitas Ott .";0;13;""" Nojaa ... """;bound;venitas Ott .;100.0;100.0;100.0
71933;Train/ilu_kanep_ud211.conllu;""" Tere , sina või ? "" uurib idioot .";2;6;Tere;bound;""" , sina või ? "" uurib idioot .";66.7;66.7;77.8
